,1,2,3,MostLikelyRegime
1990-01-31,1.0,0.0,0.0,1.0
1990-02-28,1.0,0.0,0.0,1.0
1990-03-31,1.0,0.0,0.0,1.0
1990-04-30,1.0,1.1097262648226735e-47,0.0,1.0
1990-05-31,1.0,1.704039757861141e-259,5.011523366301138e-65,1.0
1990-06-30,1.0,0.0,2.194975271076011e-83,1.0
1990-07-31,1.0,0.0,3.0622742077169025e-104,1.0
1990-08-31,1.0,0.0,9.376820932701596e-122,1.0
1990-09-30,1.0,0.0,1.3399557498938646e-139,1.0
1990-10-31,1.0,0.0,8.297926721445408e-158,1.0
1990-11-30,1.0,0.0,5.1527005642741335e-182,1.0
1990-12-31,1.0,0.0,1.1187326001873075e-213,1.0
1991-01-31,1.0,0.0,1.0257248537135872e-251,1.0
1991-02-28,1.0,0.0,7.1832861456425635e-298,1.0
1991-03-31,1.0,0.0,0.0,1.0
1991-04-30,1.0,0.0,0.0,1.0
1991-05-31,1.0,0.0,0.0,1.0
1991-06-30,1.0,0.0,0.0,1.0
1991-07-31,1.0,0.0,0.0,1.0
1991-08-31,1.0,0.0,0.0,1.0
1991-09-30,1.0,0.0,0.0,1.0
1991-10-31,1.0,0.0,0.0,1.0
1991-11-30,1.0,0.0,0.0,1.0
1991-12-31,1.0,0.0,0.0,1.0
1992-01-31,1.0,0.0,0.0,1.0
1992-02-29,1.0,0.0,0.0,1.0
1992-03-31,1.0,0.0,0.0,1.0
1992-04-30,1.0,0.0,0.0,1.0
1992-05-31,1.0,0.0,0.0,1.0
1992-06-30,1.0,0.0,0.0,1.0
1992-07-31,1.0,0.0,0.0,1.0
1992-08-31,1.0,0.0,0.0,1.0
1992-09-30,1.0,0.0,1.2945058647165167e-267,1.0
1992-10-31,1.0,0.0,5.219892569555987e-260,1.0
1992-11-30,1.0,0.0,2.855122362334316e-253,1.0
1992-12-31,1.0,0.0,4.6846855e-317,1.0
1993-01-31,1.0,0.0,0.0,1.0
1993-02-28,1.0,0.0,0.0,1.0
1993-03-31,1.0,0.0,6.43369567e-316,1.0
1993-04-30,1.0,0.0,1.048036114009797e-283,1.0
1993-05-31,1.0,0.0,1.958784828975011e-214,1.0
1993-06-30,1.0,0.0,4.179821183148388e-171,1.0
1993-07-31,1.0,0.0,2.1771161577966375e-144,1.0
1993-08-31,1.0,0.0,8.184699915449363e-199,1.0
1993-09-30,1.0,0.0,7.832783805358726e-303,1.0
1993-10-31,1.0,0.0,0.0,1.0
1993-11-30,1.8227604701968082e-39,0.0,1.0,3.0
1993-12-31,1.0,0.0,1.835650112215574e-188,1.0
1994-01-31,1.0,0.0,4.259278954326526e-136,1.0
1994-02-28,8.101037095785147e-29,0.0,1.0,3.0
1994-03-31,5.729491205989677e-23,0.0,1.0,3.0
1994-04-30,5.3518537720470615e-19,0.0,1.0,3.0
1994-05-31,5.471896657353152e-20,0.0,1.0,3.0
1994-06-30,9.268980601442152e-25,0.0,1.0,3.0
1994-07-31,6.924040141585223e-30,0.0,1.0,3.0
1994-08-31,5.163144018441606e-20,0.0,1.0,3.0
1994-09-30,2.855558564642358e-14,3.107519288197195e-39,1.0,3.0
1994-10-31,2.951426485487262e-18,0.0,1.0,3.0
1994-11-30,2.9564530948658896e-12,0.0,0.9999999999970441,3.0
1994-12-31,2.437842598517335e-08,7.151324386119414e-53,0.999999975621677,3.0
1995-01-31,4.817935122489295e-11,0.0,0.9999999999517968,3.0
1995-02-28,5.2335673062190945e-14,0.0,1.0,3.0
1995-03-31,2.492384459291351e-15,0.0,1.0,3.0
1995-04-30,2.8782287272430657e-15,0.0,1.0,3.0
1995-05-31,1.1537605751059313e-18,0.0,1.0,3.0
1995-06-30,5.491542884220895e-23,0.0,1.0,3.0
1995-07-31,1.023247196277789e-25,0.0,1.0,3.0
1995-08-31,5.148619092914125e-21,0.0,1.0,3.0
1995-09-30,2.1893277779035457e-19,0.0,1.0,3.0
1995-10-31,3.5935590850357623e-20,2.8140271594746286e-281,1.0,3.0
1995-11-30,2.4515335385422428e-23,0.0,1.0,3.0
1995-12-31,1.0810696193513802e-28,0.0,1.0,3.0
1996-01-31,5.301671762048728e-36,0.0,1.0,3.0
1996-02-29,2.3371325407290765e-33,1.0,0.0,2.0
1996-03-31,1.8102616255945026e-30,1.0,0.0,2.0
1996-04-30,2.720947078400736e-28,1.0,0.0,2.0
1996-05-31,6.108843490395938e-28,1.0,0.0,2.0
1996-06-30,1.2365208104176618e-26,1.0,0.0,2.0
1996-07-31,2.288220334969301e-27,1.0,0.0,2.0
1996-08-31,1.8294779173114476e-29,1.0,0.0,2.0
1996-09-30,1.5343842469067573e-30,1.0,0.0,2.0
1996-10-31,4.090901497245288e-34,1.0,0.0,2.0
1996-11-30,1.209046747060849e-34,1.0,0.0,2.0
1996-12-31,1.7302354260230963e-32,1.0,0.0,2.0
1997-01-31,6.442966658592512e-31,1.0,0.0,2.0
1997-02-28,1.8991560737188257e-36,1.0,0.0,2.0
1997-03-31,4.6757958010562085e-40,1.0,0.0,2.0
1997-04-30,3.1770738465538e-44,1.0,0.0,2.0
1997-05-31,1.8517795801393565e-49,1.0,0.0,2.0
1997-06-30,2.7166993069704214e-57,1.0,0.0,2.0
1997-07-31,3.571648028869888e-64,1.0,0.0,2.0
1997-08-31,8.947322453446389e-82,1.0,0.0,2.0
1997-09-30,3.421116365376236e-105,1.0,0.0,2.0
1997-10-31,1.1172884969253805e-130,1.0,0.0,2.0
1997-11-30,3.2816325622630024e-181,1.0,0.0,2.0
1997-12-31,2.0847765251211546e-243,1.0,0.0,2.0
1998-01-31,7.16e-322,1.0,0.0,2.0
1998-02-28,0.0,1.0,0.0,2.0
1998-03-31,0.0,1.0,0.0,2.0
1998-04-30,0.0,1.0,0.0,2.0
1998-05-31,8.978674432625665e-278,1.0,0.0,2.0
1998-06-30,3.3228749331546765e-181,1.0,0.0,2.0
1998-07-31,6.461187776496676e-109,1.0,0.0,2.0
