,1,2,3,4,MostLikelyRegime
1990-01-31,0.0,1.0,3.573001477182683e-119,0.0,2.0
1990-02-28,0.0,1.0,5.745175518427379e-100,0.0,2.0
1990-03-31,0.0,1.0,4.512388238444922e-91,0.0,2.0
1990-04-30,4.132836342863679e-158,1.0,1.0996752444770165e-82,5.400363216237016e-283,2.0
1990-05-31,3.788001494177954e-304,1.0,6.571757842632547e-86,0.0,2.0
1990-06-30,0.0,1.0,3.828866413069112e-89,0.0,2.0
1990-07-31,0.0,1.0,4.955572287262126e-92,0.0,2.0
1990-08-31,0.0,1.0,3.105113866123617e-89,0.0,2.0
1990-09-30,0.0,1.0,5.912487871722935e-90,0.0,2.0
1990-10-31,0.0,1.0,2.8762257413498475e-107,0.0,2.0
1990-11-30,0.0,1.0,3.050574548561855e-113,0.0,2.0
1990-12-31,0.0,1.0,2.5768049931567525e-120,0.0,2.0
1991-01-31,0.0,1.0,1.1816456756880943e-126,0.0,2.0
1991-02-28,0.0,1.0,1.6016720542795637e-133,0.0,2.0
1991-03-31,0.0,1.0,5.882312531468338e-135,0.0,2.0
1991-04-30,0.0,1.0,6.917548812633821e-140,0.0,2.0
1991-05-31,0.0,1.0,1.3358885634148704e-143,0.0,2.0
1991-06-30,0.0,1.0,2.7510675990239833e-131,0.0,2.0
1991-07-31,0.0,1.0,1.004029408919612e-127,0.0,2.0
1991-08-31,0.0,1.0,1.8807090492138824e-131,0.0,2.0
1991-09-30,0.0,1.0,1.8982948262585003e-133,0.0,2.0
1991-10-31,1.0,0.0,7.285051136926228e-133,0.0,1.0
1991-11-30,1.0,0.0,1.1493056132343008e-142,0.0,1.0
1991-12-31,0.0,1.0,7.912490310865866e-161,0.0,2.0
1992-01-31,1.0,0.0,1.7140453126755168e-178,0.0,1.0
1992-02-29,1.0,0.0,9.767446011858073e-181,0.0,1.0
1992-03-31,0.0,1.0,1.933065777483298e-192,0.0,2.0
1992-04-30,0.0,1.0,4.883616944634925e-211,0.0,2.0
1992-05-31,1.0,0.0,1.5603911975667675e-278,0.0,1.0
1992-06-30,1.0,0.0,0.0,0.0,1.0
1992-07-31,1.0,0.0,0.0,0.0,1.0
1992-08-31,1.0,0.0,2.395904996899556e-252,0.0,1.0
1992-09-30,1.0,0.0,2.6431659433587847e-144,0.0,1.0
1992-10-31,1.0,0.0,1.5178639155563448e-137,0.0,1.0
1992-11-30,1.0,0.0,3.6040067969628386e-125,0.0,1.0
1992-12-31,1.0,0.0,4.847823626841701e-183,0.0,1.0
1993-01-31,1.0,0.0,8.293140680921374e-297,0.0,1.0
1993-02-28,1.0,0.0,5.486492428605883e-300,0.0,1.0
1993-03-31,1.0,0.0,1.8856482276627805e-295,0.0,1.0
1993-04-30,1.0,0.0,1.5113505227190472e-298,0.0,1.0
1993-05-31,1.0,0.0,8.8575119787822e-242,0.0,1.0
1993-06-30,1.0,0.0,2.3652232441219316e-205,0.0,1.0
1993-07-31,1.0,0.0,1.739548968813711e-179,0.0,1.0
1993-08-31,1.0,0.0,8.337805254536324e-245,0.0,1.0
1993-09-30,1.0,0.0,0.0,0.0,1.0
1993-10-31,1.0,0.0,0.0,0.0,1.0
1993-11-30,2.316973966587766e-192,0.0,1.0,0.0,3.0
1993-12-31,9.870511234537148e-25,0.0,0.0,1.0,4.0
1994-01-31,8.824742707827874e-25,0.0,0.0,1.0,4.0
1994-02-28,1.8431777362581036e-173,0.0,1.0,0.0,3.0
1994-03-31,1.999839340791364e-167,0.0,1.0,0.0,3.0
1994-04-30,3.2988699837762646e-149,0.0,1.0,0.0,3.0
1994-05-31,2.95896615097191e-139,0.0,1.0,0.0,3.0
1994-06-30,6.5309356345421555e-139,0.0,1.0,0.0,3.0
1994-07-31,5.183455073608656e-136,0.0,1.0,0.0,3.0
1994-08-31,1.4836052319734696e-122,0.0,1.0,0.0,3.0
1994-09-30,2.780575480561082e-110,6.630995048422627e-136,1.0,6.260999063226e-312,3.0
1994-10-31,7.879885958176395e-106,0.0,1.0,6.128764994011696e-198,3.0
1994-11-30,3.4314810330598407e-84,0.0,1.0,2.8183322487918768e-210,3.0
1994-12-31,7.129853440475955e-59,3.319769402956164e-109,1.0,3.311955197138161e-201,3.0
1995-01-31,1.1275683350758784e-71,0.0,1.0,1.4214980290120077e-142,3.0
1995-02-28,6.664768172915938e-85,0.0,1.0,6.478109295988942e-178,3.0
1995-03-31,1.532438228176703e-85,0.0,1.0,3.4318798877436875e-206,3.0
1995-04-30,4.538708842911774e-86,0.0,1.0,5.8066147234440195e-239,3.0
1995-05-31,2.6395213896658295e-92,0.0,1.0,5.5333294325533e-307,3.0
1995-06-30,2.7563211802016496e-100,0.0,1.0,0.0,3.0
1995-07-31,6.078376406639606e-103,0.0,1.0,0.0,3.0
1995-08-31,9.236166854812058e-100,0.0,1.0,0.0,3.0
1995-09-30,4.275967876483718e-102,0.0,1.0,0.0,3.0
1995-10-31,6.916610652847002e-106,0.0,1.0,9.36361473e-316,3.0
1995-11-30,1.8416596029898666e-110,0.0,1.0,0.0,3.0
1995-12-31,3.7978237600423264e-119,0.0,1.0,0.0,3.0
1996-01-31,6.30990155486665e-129,0.0,1.0,0.0,3.0
1996-02-29,5.4454493919142856e-126,1.0,0.0,0.0,2.0
1996-03-31,2.5305787275797307e-122,1.0,0.0,0.0,2.0
1996-04-30,3.177198918501594e-120,1.0,0.0,0.0,2.0
1996-05-31,4.298432044495305e-117,1.0,0.0,0.0,2.0
1996-06-30,3.6609135672938206e-115,1.0,0.0,0.0,2.0
1996-07-31,1.1833115442538756e-116,1.0,0.0,0.0,2.0
1996-08-31,1.2738738489040247e-119,1.0,0.0,0.0,2.0
1996-09-30,6.026765615421032e-121,1.0,0.0,0.0,2.0
1996-10-31,1.5113849813987444e-126,1.0,0.0,0.0,2.0
1996-11-30,7.772181543105166e-127,1.0,0.0,0.0,2.0
1996-12-31,1.7832881959291006e-125,1.0,0.0,0.0,2.0
1997-01-31,9.330680912436555e-124,1.0,0.0,0.0,2.0
1997-02-28,1.6226973238116926e-127,1.0,0.0,0.0,2.0
1997-03-31,1.8528267205729156e-122,1.0,0.0,0.0,2.0
1997-04-30,4.2131942298086185e-109,1.0,0.0,0.0,2.0
1997-05-31,1.0993031283015908e-104,1.0,0.0,0.0,2.0
1997-06-30,2.327246746182376e-107,1.0,0.0,0.0,2.0
1997-07-31,9.115365505496995e-112,1.0,0.0,0.0,2.0
1997-08-31,1.6414516259124157e-120,1.0,0.0,0.0,2.0
1997-09-30,3.3230601679276007e-141,1.0,0.0,0.0,2.0
1997-10-31,2.8451940378911205e-166,1.0,0.0,0.0,2.0
1997-11-30,6.366234978177283e-211,1.0,0.0,0.0,2.0
1997-12-31,2.6206449902797284e-271,1.0,0.0,0.0,2.0
1998-01-31,0.0,1.0,0.0,0.0,2.0
1998-02-28,0.0,1.0,0.0,0.0,2.0
1998-03-31,0.0,1.0,0.0,0.0,2.0
1998-04-30,0.0,1.0,0.0,0.0,2.0
1998-05-31,1.0,1.0058435e-315,0.0,0.0,1.0
1998-06-30,7.97872262482448e-214,1.0,0.0,0.0,2.0
1998-07-31,1.0,2.937147789109195e-129,0.0,0.0,1.0
1998-08-31,1.0,1.554816719934377e-177,0.0,0.0,1.0
1998-09-30,1.0,3.591544419791833e-240,0.0,0.0,1.0
1998-10-31,1.0,9.883072211732095e-309,0.0,0.0,1.0
1998-11-30,1.0,4.050422672627e-311,0.0,0.0,1.0
1998-12-31,1.0,7.14005759387512e-309,0.0,0.0,1.0
1999-01-31,1.0,6.365575885975e-312,0.0,0.0,1.0
1999-02-28,1.5524422336959282e-275,3.847201863409987e-67,1.0,0.0,3.0
