,1,2,3,4,5,MostLikelyRegime
1990-01-31,1.0,0.0,1.4920566758283308e-211,0.0,0.0,1.0
1990-02-28,1.0,0.0,6.161408339138015e-194,0.0,0.0,1.0
1990-03-31,1.0,0.0,1.9036389767979796e-186,0.0,0.0,1.0
1990-04-30,1.0,0.0,1.3722163368403532e-178,0.0,0.0,1.0
1990-05-31,1.0,0.0,1.032509675178567e-182,0.0,0.0,1.0
1990-06-30,1.0,0.0,5.694204975219764e-187,0.0,0.0,1.0
1990-07-31,1.0,0.0,1.085098599071992e-190,0.0,0.0,1.0
1990-08-31,1.0,0.0,7.721905165596728e-189,0.0,0.0,1.0
1990-09-30,1.0,0.0,2.0618515122079208e-190,0.0,0.0,1.0
1990-10-31,1.0,0.0,8.349069924127684e-192,0.0,0.0,1.0
1990-11-30,1.0,0.0,5.952612184832919e-198,0.0,0.0,1.0
1990-12-31,1.0,0.0,7.965474371575326e-205,0.0,0.0,1.0
1991-01-31,1.0,0.0,1.3236835699798515e-210,0.0,0.0,1.0
1991-02-28,1.0,0.0,1.552541870257106e-216,0.0,0.0,1.0
1991-03-31,1.0,0.0,1.9756633449814214e-217,0.0,0.0,1.0
1991-04-30,1.0,0.0,6.185788304347654e-222,0.0,0.0,1.0
1991-05-31,1.0,0.0,2.9411151500299414e-209,0.0,0.0,1.0
1991-06-30,1.0,0.0,4.8769864869160385e-197,0.0,0.0,1.0
1991-07-31,1.0,0.0,1.7028143570644111e-193,0.0,0.0,1.0
1991-08-31,1.0,0.0,8.631832131464979e-197,0.0,0.0,1.0
1991-09-30,1.0,0.0,5.469871173532276e-198,0.0,0.0,1.0
1991-10-31,0.0,0.9999999854821908,1.914161047491708e-224,0.0,1.4517834869844727e-08,2.0
1991-11-30,0.0,1.0,1.0169655248161086e-158,0.0,5.521292638048112e-21,2.0
1991-12-31,1.0,0.0,5.113579702590412e-219,0.0,0.0,1.0
1992-01-31,0.0,1.0,9.741804e-318,0.0,6.740514676176504e-20,2.0
1992-02-29,0.0,1.0,9.273513071182639e-262,0.0,4.035017655026623e-18,2.0
1992-03-31,1.0,0.0,6.485715206742239e-254,0.0,0.0,1.0
1992-04-30,1.0,0.0,9.665184529085548e-272,0.0,0.0,1.0
1992-05-31,0.0,4.041145601240977e-21,0.0,0.0,1.0,5.0
1992-06-30,0.0,1.5211926879876577e-46,0.0,0.0,1.0,5.0
1992-07-31,0.0,9.240116005436831e-60,0.0,0.0,1.0,5.0
1992-08-31,0.0,5.347189888387656e-50,1e-323,0.0,1.0,5.0
1992-09-30,0.0,1.0142662014179974e-42,1.5090065535184935e-202,0.0,1.0,5.0
1992-10-31,0.0,2.854087777790164e-46,3.8502760809677405e-195,0.0,1.0,5.0
1992-11-30,2.0848718907517222e-48,0.0,1.723334732615887e-187,0.0,1.0,5.0
1992-12-31,1.9502601055623484e-55,0.0,1.4311534026545092e-241,0.0,1.0,5.0
1993-01-31,0.0,5.6024610205129666e-70,0.0,0.0,1.0,5.0
1993-02-28,0.0,1.0341090725461339e-61,0.0,0.0,1.0,5.0
1993-03-31,0.0,4.085300735489701e-72,0.0,0.0,1.0,5.0
1993-04-30,0.0,3.11901931637164e-101,0.0,0.0,1.0,5.0
1993-05-31,0.0,8.348290059261945e-90,8.3813e-320,0.0,1.0,5.0
1993-06-30,0.0,4.990921811195582e-69,2.91080217559724e-233,0.0,1.0,5.0
1993-07-31,0.0,2.0124157878255732e-54,2.681074403730781e-182,0.0,1.0,5.0
1993-08-31,0.0,1.656841556345122e-59,1.6881138419834924e-241,0.0,1.0,5.0
1993-09-30,0.0,7.79670431232621e-64,0.0,0.0,1.0,5.0
1993-10-31,0.0,1.323580351616036e-73,0.0,0.0,1.0,5.0
1993-11-30,0.0,1.1672804143393714e-84,1.0,0.0,0.0,3.0
1993-12-31,0.0,2.6732690572022934e-71,4.988227686117402e-308,1.0,0.0,4.0
1994-01-31,0.0,7.002209560153205e-73,7.074628527291069e-261,1.0,0.0,4.0
1994-02-28,0.0,3.1358543085656464e-72,1.0,3.159927193544511e-194,0.0,3.0
1994-03-31,0.0,6.764028219518755e-64,1.0,2.816969485847863e-194,0.0,3.0
1994-04-30,0.0,8.884514548641304e-53,1.0,1.128352012555007e-193,0.0,3.0
1994-05-31,0.0,7.76451467796721e-49,1.0,7.717566075884361e-227,0.0,3.0
1994-06-30,0.0,8.422141703423663e-52,1.0,8.817849015988733e-289,0.0,3.0
1994-07-31,0.0,1.1216381391881153e-53,1.0,0.0,0.0,3.0
1994-08-31,0.0,3.615230098996581e-45,1.0,6.658712594292014e-205,0.0,3.0
1994-09-30,1.0450163496873678e-273,1.7491096822476115e-35,1.0,2.9260958888754736e-122,5.2111475646033785e-174,3.0
1994-10-31,0.0,4.116509378604363e-39,1.0,3.53429675696976e-174,0.0,3.0
1994-11-30,0.0,1.1476953370889838e-28,1.0,6.776056864763194e-135,0.0,3.0
1994-12-31,2.1694668627745155e-232,4.0639312109936253e-23,1.0,6.904069758744261e-111,4.5237514340482535e-161,3.0
1995-01-31,0.0,8.016386700610787e-22,1.0,3.695565738598691e-112,0.0,3.0
1995-02-28,0.0,3.645753498821894e-26,1.0,1.132269963431269e-118,0.0,3.0
1995-03-31,0.0,1.8095124639604425e-29,1.0,1.7663092834038464e-122,0.0,3.0
1995-04-30,0.0,4.643541852677307e-32,1.0,9.236960453886568e-136,0.0,3.0
1995-05-31,0.0,3.8304703862003827e-38,1.0,1.4579938201076617e-164,0.0,3.0
1995-06-30,0.0,5.615771701995147e-47,1.0,7.300320729933934e-224,0.0,3.0
1995-07-31,0.0,4.1985438678189573e-47,1.0,2.6092557114355926e-296,0.0,3.0
1995-08-31,0.0,2.2696816961287708e-42,1.0,3.4551057518922836e-220,0.0,3.0
1995-09-30,0.0,2.824692747724252e-45,1.0,1.8863074180639111e-168,0.0,3.0
