Date,Mortgage_Rate,AL,AL_monthly,GDP,CPI,Treasury,Credit_Availability,Corp_debt,Unemployment,BusinessConfidenceIndex
1976-06-01,8.9,2.2026571441927567,26.647846408730416,1875.1493333333333,56.7,0.84,0.0,629944.6666666666,7.6,101.0033
1976-07-01,8.98,2.187029163209296,26.457201254607043,1886.558,57.0,1.12,0.0,634701.0,7.8,100.6443
1976-08-01,9.0,2.1831514841421202,26.409896456413325,1902.463,57.3,1.16,0.0,640981.6666666666,7.8,100.3209
1976-09-01,8.97,2.188972380378566,26.480906891815458,1918.368,57.6,1.22,0.0,647262.3333333334,7.6,100.098
1976-10-01,8.9,2.2026571441927567,26.647846408730416,1934.273,57.9,1.39,0.0,653543.0,7.7,100.0021
1976-11-01,8.8,2.2224593913320096,26.88940199557692,1952.398,58.1,1.59,0.0,658764.3333333334,7.8,100.045
1976-12-01,8.78,2.2264559392557213,26.93815182743412,1970.523,58.4,1.47,0.0,663985.6666666666,7.8,100.2972
1977-01-01,8.73,2.2365005339478405,27.06067310279127,1988.648,58.7,1.22,0.0,669207.0,7.5,100.4464
1977-02-01,8.65,2.252731584888976,27.25864709878819,2011.0683333333334,59.3,1.37,0.0,670946.3333333334,7.6,100.6309
1977-03-01,8.7,2.2425640249241185,27.134632131250026,2033.4886666666666,59.6,1.41,0.0,672685.6666666666,7.4,100.8918
1977-04-01,8.78,2.2264559392557213,26.93815182743412,2055.909,60.0,1.31,0.0,674425.0,7.2,101.0322
1977-05-01,8.85,2.212520834966696,26.768169225355965,2076.7636666666667,60.2,1.2,0.0,682563.3333333334,7.0,101.1102
1977-06-01,8.88,2.2065936829453956,26.695866891346732,2097.6183333333333,60.5,1.12,0.0,690701.6666666666,7.2,100.9657
1977-07-01,8.93,2.1967745650124715,26.57608592846112,2118.473,60.8,0.92,0.0,698840.0,6.9,100.7632
1977-08-01,8.93,2.1967745650124715,26.57608592846112,2133.7386666666666,61.1,0.69,0.0,705541.0,7.0,100.4933
1977-09-01,8.9,2.2026571441927567,26.647846408730416,2149.0043333333333,61.3,0.59,0.0,712242.0,6.8,100.3749
1977-10-01,8.9,2.2026571441927567,26.647846408730416,2164.27,61.6,0.39,0.0,718943.0,6.8,100.5049
1977-11-01,8.93,2.1967745650124715,26.57608592846112,2177.1,62.0,0.44,0.0,725279.0,6.8,100.7547
1977-12-01,9.0,2.1831514841421202,26.409896456413325,2189.9300000000003,62.3,0.56,0.0,731615.0,6.4,100.9725
1978-01-01,9.05,2.1735080972142966,26.292252458155595,2202.76,62.7,0.47,0.0,737951.0,6.4,100.8892
1978-02-01,9.15,2.154436724357542,26.059584932146265,2245.717666666667,63.0,0.47,0.0,741642.0,6.3,100.7193
1978-03-01,9.25,2.1356479957808245,25.830357077913703,2288.675333333333,63.4,0.45,0.0,745333.0,6.3,100.7135
1978-04-01,9.43,2.102523504638374,25.426211671225293,2331.633,63.9,0.27,0.0,749024.0,6.1,100.9957
1978-05-01,9.68,2.0579511628250113,24.882368599616154,2352.7729999999997,64.5,0.3,0.0,756530.6666666666,6.0,101.3697
1978-06-01,9.73,2.049230780650697,24.775966006094716,2373.913,65.0,0.14,0.0,764037.3333333334,5.9,101.6347
1978-07-01,9.75,2.0457603798160795,24.733621455867997,2395.053,65.5,0.09,0.0,771544.0,6.2,101.7659
1978-08-01,9.8,2.0371284246820904,24.6282973072798,2422.3516666666665,65.9,-0.07,0.0,777431.6666666666,5.9,101.7152
1978-09-01,9.78,2.0405736794944747,24.670335154228646,2449.6503333333335,66.5,-0.14,0.0,783319.3333333334,6.0,101.6572
1978-10-01,9.88,2.0234469549806895,24.461360333083398,2476.949,67.1,-0.53,0.0,789207.0,5.8,101.6183
1978-11-01,10.28,1.957355820976437,23.654945752632532,2493.5026666666668,67.5,-0.69,0.0,791735.3333333334,5.9,101.58
1978-12-01,10.38,1.9414148815193226,23.46044783237985,2510.0563333333334,67.9,-0.83,0.0,794263.6666666666,6.0,101.4282
1979-01-01,10.4,1.9382537334736316,23.421878634504598,2526.61,68.5,-0.69,0.0,796792.0,5.9,101.2578
1979-02-01,10.4,1.9382537334736316,23.421878634504598,2548.1556666666665,69.2,-0.72,0.0,799499.0,5.9,101.1037
1979-03-01,10.45,1.9303898857522994,23.325932507596125,2569.7013333333334,69.9,-0.61,0.0,802206.0,5.8,100.9116
1979-04-01,10.53,1.917922619267698,23.173822885057128,2591.247,70.6,-0.56,0.0,804913.0,5.8,100.6257
1979-05-01,10.75,1.8843513233921008,22.7642466644342,2616.686333333333,71.4,-0.5,0.0,812115.0,5.6,100.27
1979-06-01,11.1,1.8330163294651858,22.138015623147044,2642.125666666667,72.2,-0.16,0.0,819317.0,5.7,99.9022
1979-07-01,11.08,1.8358834049263513,22.172988299216012,2667.565,73.0,-0.3,0.0,826519.0,5.7,99.57
1979-08-01,11.13,1.8287304532602706,22.085736993419328,2686.337666666667,73.7,-0.6,0.0,832718.0,6.0,99.30282
1979-09-01,11.35,1.7978323907298484,21.708869625942754,2705.110333333333,74.4,-0.66,0.0,838917.0,5.9,99.13361
1979-10-01,12.0,1.7117265931293144,20.658895354301205,2723.883,75.2,-1.34,0.0,845116.0,6.0,98.96733
1979-11-01,12.9,1.6040403215881684,19.346520982024042,2745.869333333333,76.0,-0.95,0.0,851227.6666666666,5.9,98.77229
1979-12-01,12.9,1.6040403215881684,19.346520982024042,2767.855666666667,76.9,-0.9,0.0,857339.3333333334,6.0,98.6135
1980-01-01,12.89,1.6051695657527016,19.360277755895225,2789.842,78.0,-0.62,0.0,863451.0,6.3,98.62623
1980-02-01,13.59,1.529456798746986,18.43822030557653,2792.345333333333,79.0,-2.01,0.0,868172.0,6.3,98.46581
1980-03-01,16.03,1.3103173842087525,15.773732869190543,2794.8486666666668,80.1,-1.99,0.0,872893.0,6.3,97.60511
1980-04-01,16.25,1.2934126853321366,15.56851123610253,2797.352,80.9,-0.05,0.0,877614.0,6.9,96.38105
1980-05-01,13.2,1.5708190558478228,18.941867938797078,2817.0623333333333,81.7,1.0,0.0,887643.0,7.5,95.3932
1980-06-01,12.35,1.668348015903181,20.130123834496153,2836.7726666666667,82.5,1.12,0.0,897672.0,7.6,95.35428
1980-07-01,12.18,1.6891690572594638,20.383908131135076,2856.483,82.6,1.04,0.0,907701.0,7.8,96.30575
