,1,2,MostLikelyRegime
1990-01-31,0.0,1.0,2.0
1990-02-28,0.0,1.0,2.0
1990-03-31,0.0,1.0,2.0
1990-04-30,3.9976790169907e-22,1.0,2.0
1990-05-31,9.321690618951173e-100,1.0,2.0
1990-06-30,4.990584751110029e-241,1.0,2.0
1990-07-31,0.0,1.0,2.0
1990-08-31,0.0,1.0,2.0
1990-09-30,1.568456804447526e-251,1.0,2.0
1990-10-31,2.756286379234154e-175,1.0,2.0
1990-11-30,0.0,1.0,2.0
1990-12-31,0.0,1.0,2.0
1991-01-31,0.0,1.0,2.0
1991-02-28,0.0,1.0,2.0
1991-03-31,0.0,1.0,2.0
1991-04-30,0.0,1.0,2.0
1991-05-31,0.0,1.0,2.0
1991-06-30,0.0,1.0,2.0
1991-07-31,1.4644507903589597e-238,1.0,2.0
1991-08-31,4.719806781123905e-264,1.0,2.0
1991-09-30,2.8916332178459275e-291,1.0,2.0
1991-10-31,5.454e-321,1.0,2.0
1991-11-30,0.0,1.0,2.0
1991-12-31,0.0,1.0,2.0
1992-01-31,0.0,1.0,2.0
1992-02-29,0.0,1.0,2.0
1992-03-31,0.0,1.0,2.0
1992-04-30,0.0,1.0,2.0
1992-05-31,0.0,1.0,2.0
1992-06-30,0.0,1.0,2.0
1992-07-31,0.0,1.0,2.0
1992-08-31,6.69767571151279e-246,1.0,2.0
1992-09-30,6.702848215225556e-39,1.0,2.0
1992-10-31,5.925309284153497e-35,1.0,2.0
1992-11-30,1.342080683599317e-16,1.0,2.0
1992-12-31,7.352001757332105e-118,1.0,2.0
1993-01-31,0.0,1.0,2.0
1993-02-28,3.693268e-317,1.0,2.0
1993-03-31,9.21143702061883e-297,1.0,2.0
1993-04-30,4.1318690132224536e-277,1.0,2.0
1993-05-31,9.330062495410094e-157,1.0,2.0
1993-06-30,2.0375339840526239e-72,1.0,2.0
1993-07-31,4.3056797976299376e-24,1.0,2.0
1993-08-31,2.6449924445257425e-131,1.0,2.0
1993-09-30,0.0,1.0,2.0
1993-10-31,0.0,1.0,2.0
1993-11-30,1.0,0.0,1.0
1993-12-31,0.0,1.0,2.0
1994-01-31,0.0,1.0,2.0
1994-02-28,1.0,0.0,1.0
1994-03-31,1.0,0.0,1.0
1994-04-30,1.0,0.0,1.0
1994-05-31,1.0,0.0,1.0
1994-06-30,1.0,0.0,1.0
1994-07-31,1.0,0.0,1.0
1994-08-31,1.0,0.0,1.0
1994-09-30,1.0,2.0627432285115068e-42,1.0
1994-10-31,1.0,0.0,1.0
1994-11-30,1.0,0.0,1.0
1994-12-31,1.0,2.2804299789575772e-85,1.0
1995-01-31,1.0,0.0,1.0
1995-02-28,1.0,0.0,1.0
1995-03-31,1.0,0.0,1.0
1995-04-30,1.0,0.0,1.0
1995-05-31,1.0,0.0,1.0
1995-06-30,1.0,0.0,1.0
1995-07-31,1.0,0.0,1.0
1995-08-31,1.0,0.0,1.0
1995-09-30,1.0,0.0,1.0
1995-10-31,1.0,0.0,1.0
1995-11-30,1.0,0.0,1.0
